idciudad,Ciudad,idsexo,sexo,edad,Cantidad
5,Potosí,2,Femenino,52,85
3,Cochabamba,1,Masculino,65,1
2,La Paz,2,Femenino,82,149
8,Beni,2,Femenino,93,8
6,Tarija,2,Femenino,56,65
5,Potosí,2,Femenino,78,93
3,Cochabamba,1,Masculino,62,1
2,La Paz,1,Masculino,92,46
2,La Paz,2,Femenino,56,169
1,Chuquisaca,1,Masculino,68,1
1,Chuquisaca,1,Masculino,71,26
8,Beni,2,Femenino,99,5
4,Oruro,1,Masculino,30,172
1,Chuquisaca,2,Femenino,35,124
6,Tarija,2,Femenino,82,90
9,Pando,2,Femenino,27,49
2,La Paz,1,Masculino,28,866
4,Oruro,1,Masculino,62,1
7,Santa Cruz,1,Masculino,29,1375
3,Cochabamba,1,Masculino,91,33
1,Chuquisaca,2,Femenino,96,13
9,Pando,1,Masculino,25,119
2,La Paz,1,Masculino,54,192
5,Potosí,1,Masculino,24,285
8,Beni,1,Masculino,91,9
2,La Paz,1,Masculino,31,786
3,Cochabamba,2,Femenino,35,462
5,Potosí,1,Masculino,27,330
7,Santa Cruz,1,Masculino,32,1316
3,Cochabamba,1,Masculino,71,43
3,Cochabamba,1,Masculino,97,8
3,Cochabamba,2,Femenino,38,378
6,Tarija,2,Femenino,88,66
8,Beni,2,Femenino,29,150
4,Oruro,1,Masculino,56,34
8,Beni,2,Femenino,32,139
4,Oruro,1,Masculino,59,21
4,Oruro,2,Femenino,23,70
6,Tarija,2,Femenino,85,51
7,Santa Cruz,1,Masculino,26,1619
3,Cochabamba,1,Masculino,94,23
4,Oruro,2,Femenino,26,132
1,Chuquisaca,2,Femenino,99,5
9,Pando,1,Masculino,28,124
7,Santa Cruz,1,Masculino,58,366
2,La Paz,1,Masculino,57,198
5,Potosí,1,Masculino,56,71
8,Beni,1,Masculino,94,8
8,Beni,2,Femenino,38,99
1,Chuquisaca,2,Femenino,70,28
8,Beni,1,Masculino,97,6
3,Cochabamba,2,Femenino,64,1
7,Santa Cruz,1,Masculino,61,2
2,La Paz,1,Masculino,83,74
1,Chuquisaca,2,Femenino,73,34
4,Oruro,2,Femenino,32,83
1,Chuquisaca,2,Femenino,93,30
3,Cochabamba,1,Masculino,100,10
8,Beni,2,Femenino,58,46
4,Oruro,1,Masculino,85,7
5,Potosí,1,Masculino,50,88
9,Pando,1,Masculino,34,87
2,La Paz,1,Masculino,63,1
4,Oruro,1,Masculino,88,6
4,Oruro,2,Femenino,29,95
5,Potosí,1,Masculino,53,62
7,Santa Cruz,1,Masculino,55,464
7,Santa Cruz,2,Femenino,25,1290
